Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
2673,SYNC,2.191,OV,1.00,UN,False,-1.00,3.56
2674,SYNC,2.191,OV,1.00,OV,True,1.00,4.56
2675,SYNC,2.191,OV,1.00,OV,True,1.00,5.56
2676,SYNC,2.191,OV,1.00,UN,False,-1.00,4.56
2677,SYNC,2.191,OV,1.00,OV,True,1.00,5.56
2678,SYNC,2.191,OV,1.00,UN,False,-1.00,4.56
2679,SYNC,2.191,OV,1.00,UN,False,-1.00,3.56
2680,SYNC,2.191,OV,1.00,UN,False,-1.00,2.56
2681,SYNC,2.191,OV,1.00,OV,True,1.00,3.56
2682,SYNC,2.191,OV,1.00,UN,False,-1.00,2.56
2683,SYNC,2.191,OV,1.00,UN,False,-1.00,1.56
2684,SYNC,2.191,OV,1.00,UN,False,-1.00,0.56
2685,SYNC,2.191,OV,1.00,OV,True,1.00,1.56
2686,SYNC,2.191,OV,1.00,OV,True,1.00,2.56
2687,SYNC,2.191,OV,1.00,OV,True,1.00,3.56
2688,SYNC,2.191,OV,1.00,UN,False,-1.00,2.56
2689,SYNC,2.191,OV,1.00,UN,False,-1.00,1.56
2690,SYNC,2.191,OV,1.00,UN,False,-1.00,0.56
2691,SYNC,2.191,OV,1.00,UN,False,-1.00,-0.44
2692,SYNC,2.191,OV,1.00,UN,False,-1.00,-1.44
2693,SYNC,2.191,OV,1.00,OV,True,1.00,-0.44
2694,SYNC,2.191,OV,1.00,UN,False,-1.00,-1.44
2695,SYNC,2.191,OV,1.00,UN,False,-1.00,-2.44
2703,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-1.44
2704,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-0.44
2705,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-1.44
2706,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-2.44
2707,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-3.44
2708,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-2.44
2709,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-3.44
2710,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-2.44
2711,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-1.44
2712,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-0.44
2713,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-1.44
2714,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-2.44
